"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 19:42:14 GMT 2023","Fri Jun 02 19:42:14 GMT 2023","229","","","","","","Get All Products",""
"passed","Fri Jun 02 19:42:13 GMT 2023","Fri Jun 02 19:42:14 GMT 2023","931","","","","","","Create a new product",""
"passed","Fri Jun 02 19:42:11 GMT 2023","Fri Jun 02 19:42:12 GMT 2023","926","","","","","","Create a new product",""
"passed","Fri Jun 02 19:42:14 GMT 2023","Fri Jun 02 19:42:14 GMT 2023","250","","","","","","Get product by ID",""
"passed","Fri Jun 02 19:42:14 GMT 2023","Fri Jun 02 19:42:14 GMT 2023","226","","","","","","Update a product",""
"passed","Fri Jun 02 19:42:12 GMT 2023","Fri Jun 02 19:42:13 GMT 2023","1011","","","","","","Create a new product",""
